epoch,lr,step,train_acc,train_loss,valid_acc,valid_loss
0,,41,,,0.07883816212415695,2.565000057220459
0,0.0010000000474974513,41,0.07703643292188644,,,
1,,49,,2.6062090396881104,,
1,,83,,,0.09993910044431686,2.2009360790252686
1,0.0010000000474974513,83,0.09477107226848602,,,
2,,99,,2.2366385459899902,,
2,,125,,,0.12356457114219666,2.136631488800049
2,0.0010000000474974513,125,0.11445004492998123,,,
3,,149,,2.105318069458008,,
3,,167,,,0.1387382596731186,2.1221823692321777
3,0.0010000000474974513,167,0.12964364886283875,,,
4,,199,,2.0330257415771484,,
4,,209,,,0.1546200066804886,2.0278804302215576
4,0.0010000000474974513,209,0.14213992655277252,,,
5,,249,,1.8410553932189941,,
5,,251,,,0.17421983182430267,1.7550535202026367
5,0.0010000000474974513,251,0.1600065976381302,,,
6,,293,,,0.19340713322162628,1.6724783182144165
6,0.0010000000474974513,293,0.17887665331363678,,,
7,,299,,1.7178468704223633,,
7,,335,,,0.21037282049655914,1.6175676584243774
7,0.0010000000474974513,335,0.1963329315185547,,,
8,,349,,1.6205289363861084,,
8,,377,,,0.22419360280036926,1.6215615272521973
8,0.0010000000474974513,377,0.21108350157737732,,,
9,,399,,1.5913156270980835,,
9,,419,,,0.23557326197624207,1.6119775772094727
9,0.0010000000474974513,419,0.22334975004196167,,,
10,,449,,1.6321014165878296,,
10,,461,,,0.24534043669700623,1.5901302099227905
10,0.0010000000474974513,461,0.23326963186264038,,,
11,,499,,1.5988339185714722,,
11,,503,,,0.25338733196258545,1.6107817888259888
11,0.0010000000474974513,503,0.24217374622821808,,,
12,,545,,,0.2602725625038147,1.5795974731445312
12,0.0010000000474974513,545,0.24967895448207855,,,
13,,549,,1.5933597087860107,,
13,,587,,,0.2664336562156677,1.5771145820617676
13,0.0010000000474974513,587,0.2563977837562561,,,
14,,599,,1.572758436203003,,
14,,629,,,0.27160269021987915,1.5932178497314453
14,0.0010000000474974513,629,0.2623690366744995,,,
15,,649,,1.5507148504257202,,
15,,671,,,0.2762218117713928,1.5756726264953613
15,0.0010000000474974513,671,0.2674979269504547,,,
16,,699,,1.5617315769195557,,
16,,713,,,0.2806496024131775,1.5600733757019043
16,0.0010000000474974513,713,0.27230939269065857,,,
17,,749,,1.6259968280792236,,
17,,755,,,0.28472399711608887,1.5594121217727661
17,0.0010000000474974513,755,0.276472270488739,,,
18,,797,,,0.2884618043899536,1.555672287940979
18,0.0010000000474974513,797,0.28048446774482727,,,
19,,799,,1.5535005331039429,,
19,,839,,,0.29188281297683716,1.5544394254684448
19,0.0010000000474974513,839,0.2841224670410156,,,
20,,849,,1.5496948957443237,,
20,,881,,,0.2950919568538666,1.5502502918243408
