,c0_train_r2,c0_test_r2,c0_all_r2,c0_train_rmse,c0_test_rmse,c0_train_nrmse,c0_test_nrmse,c0_all_nrmse,c0_equation,c0_simplicity,c1_train_r2,c1_test_r2,c1_all_r2,c1_train_rmse,c1_test_rmse,c1_train_nrmse,c1_test_nrmse,c1_all_nrmse,c1_equation,c1_simplicity,c2_train_r2,c2_test_r2,c2_all_r2,c2_train_rmse,c2_test_rmse,c2_train_nrmse,c2_test_nrmse,c2_all_nrmse,c2_equation,c2_simplicity,mean_train_r2,mean_test_r2,mean_train_rmse,mean_test_rmse,mean_train_nrmse,mean_test_nrmse,mean_simplicity
0,0.89793191457248,0.9125200499341058,0.9026058177733646,3.6209761946578523,3.818261303886841,0.3766772874875155,0.3458313077643269,0.36823717142166024,99.8572*exp(-1.19802*(0.359975*KDP - 1)**2 - 9.12357*(0.0166261*Z - 1)**2*(-0.600963*KDP + 0.755947*exp(-5.97919*(1 - 0.570242*ZDR)**2 - 1.05766*(0.672744*KDP - 1)**2) + 1)**2) + 0.288217,-2.5,0.9563871945549792,0.8284549243638621,0.9374938346791828,2.2120576273276424,3.164807347633873,0.23313703626582682,0.3478765977063889,0.2645994465799509,78.7904*exp(-1.79656*(0.732631*KDP - 1)**2 - 2.0*exp(-3.67887*(1 - 0.0319702*Z)**2 - 4.0*exp(-30.5889*(0.603759 - KDP)**2 - 76.1475*(0.0274702*Z - 1)**2))) - 0.0269921,-2.4,0.8904783622415723,0.9006957292394948,0.8949507610373588,3.9274441144865992,4.821031665625829,0.42016642852111513,0.40373594851505007,0.4170364864063378,78.4764*exp(-12.7277*(0.156124*KDP + 0.014989*Z - 1)**2 - 50.3592*(-0.983552*RhoHV + 0.0203212*ZDR + 1)**2) + 1.51689,-2.1,0.9149324904563438,0.8805569011791543,3.2534926454906983,3.934700105715514,0.3433269174248192,0.3658146179952553,-2.3333333333333335
1,0.8964862545167178,0.9105386025080481,0.9005974920489767,3.676455459732741,3.804770659579663,0.370216125162755,0.3771601628296397,0.3720144327326211,(43.3878026883*KDP + 17.6530488064)*exp(-13.3545*(0.0205568*Z - 1)**2 - 0.284*(-0.41285*KDP + ZDR + 0.154008)**2) + 0.478941,-2.1,0.9534102728130388,0.8136705502868128,0.9264718065890456,2.224371468123338,3.769193216641092,0.2333231290521743,0.42058087360525476,0.2869818633570264,0.243001*exp(0.135532*Z - 5.99043*(0.873818 - KDP)**2 - 2.0*exp(-35.6279*(1 - 0.0201042*Z)**2 - 6.43853*(0.43973*ZDR - 1)**2)) + 2.03393,-2.3,0.9044863675228805,0.8645855213550346,0.897507313705979,4.152023419439861,4.020353617494238,0.39967397439899616,0.4545735771030668,0.41193058221347384,38.4215*tanh(0.611768*KDP + 0.0690368*Z - 3.76253) + 38.5493,-1.6,0.9181276316175456,0.8629315580499651,3.3509501157653134,3.8647724979049976,0.3344044095379752,0.41743820451265373,-2.0
2,0.8968718182152771,0.9111291640479657,0.90026097913954,3.8281471220702237,3.353714797280323,0.37491792436302745,0.3626516152097645,0.37264360139970915,(73.871704484*KDP + 29.6673318548)*exp(-4.90512*(1 - 0.0148082*Z)**2 - 0.197421*(-ZDR - 0.0225564)**2) - 3.17629,-2.1,0.9309019893506298,0.9203149466286238,0.9286933889397087,2.463290478908959,3.157400258364405,0.28469803998851473,0.27206507867533986,0.2826131733728541,77.6397*tanh(exp(-14.802*(1 - 0.019481*Z)**2 - 2.0*exp(-1.35979*(KDP - 0.065857)**2 - 4.0*exp(-120.595*(1 - 0.0264837*Z)**2 - 42.9584*(KDP - 0.62365)**2)))) + 0.427001,-2.4,0.8932603321328474,0.906688979848991,0.8981804425427329,4.004820899980436,4.39222816589417,0.42625000518199846,0.37228825253874026,0.4105756605439476,41.8102*tanh(0.494417*KDP + 0.0732271*Z - 3.97262) + 42.4856,-1.6,0.9070113798995848,0.9127110301751934,3.43208616698654,3.634447740512966,0.3619553231778469,0.3356683154746149,-2.033333333333333
3,0.9022245355307466,0.8975881799673925,0.9010698856633085,3.6581383748853638,3.823326651945665,0.36187968533061976,0.4002017794100907,0.37112941215279993,(54.0905838702*KDP + 17.2619227416)*exp(-9.73306*(1 - 0.0194216*Z)**2 - 0.218786*(-ZDR - 0.0971832)**2) + 0.00244575,-2.1,0.9403643321304307,0.8425478784213819,0.925111879725993,2.5629447291419125,3.143491711928904,0.26185897615753895,0.38336725782889947,0.2896236138425334,51.0254*exp(-4.34825*(0.926993 - KDP)**2 - 2.0*exp(-1.42334*(0.0474739*ZDR - 1)**2 - 87.4275*(-0.0273068*Z + 0.115954*ZDR + 1)**2)) + 1.53216,-2.3,0.8778192851150168,0.947303214324582,0.8996192029162476,4.310794204476543,3.282857038274628,0.44461290053826236,0.30103578976097156,0.4076645220964179,37.3265*tanh(0.638661*KDP + 0.0716306*Z - 0.0767293*ZDR - 3.85633) + 38.2411,-1.7,0.9068027175920648,0.895813090904452,3.510625769501273,3.416558467383066,0.3561171873421403,0.36153494233332056,-2.0333333333333337
4,0.909408880437117,0.8870672473136492,0.9039920440896938,3.5584927496389103,3.8932703194544036,0.35725739699273606,0.389409399169139,0.36560719161971184,(49.80982136*KDP - 0.4351100988*Z + 34.577694892)*exp(-12.5783*(0.0199416*Z - 1)**2 - 2.0*exp(-0.886734*(0.213074*KDP + 1)**2 - 6.28197*(0.573449*ZDR - 1)**2)) + 0.303695,-2.4,0.9400540093229571,0.8117895595342256,0.91533807151513,2.5238252207722462,3.7868266849547063,0.27174430371706554,0.39040708115129547,0.3079438830988649,83.7353*exp(-3.64545*(1 - 0.75996*KDP)**2 - 5242310.0*(-0.000207859*KDP + (1 - 0.0215693*Z)**4 - 0.000178505)**2) + 1.91923,-2.1,0.9084328605835115,0.8617505487099041,0.8950404463747287,3.7748879188451387,5.165106053325006,0.3942821524951409,0.45844032234718457,0.4168584268377036,36.0259*tanh(0.696831*KDP + 0.0706512*Z - 3.83926) + 36.1053,-1.6,0.9192985834478619,0.8535357851859263,3.2857352964187654,4.281734352578039,0.3410946177349809,0.412752267555873,-2.033333333333333
5,0.9032760503602263,0.90299667465524,0.9032015863239715,3.618062673471646,3.7831995737668938,0.36292985087268775,0.3793625754986707,0.3671091746110773,107.01*sqrt(exp(-6.68632*(1 - 0.0163319*Z)**2 - 2.74969*(0.0470518*KDP - 1)**2*(-0.564905*KDP + 0.638607*exp(-1.70049*(0.400854*KDP - 1)**2 - 6.26284*(0.583967*ZDR - 1)**2) + 1)**2)) - 8.98985,-2.5,0.9420895206767614,0.8531787275974961,0.924413161461302,2.4605053012962173,3.4207302213415636,0.251735558151203,0.41515290735741656,0.29097159448457877,0.244488*Z - 70.3107*exp(-0.55047*(KDP + 0.0342856)**2 - 2.0*exp(-47.8901*(0.613244 - KDP)**2 - 32.9676*(0.0305579*Z - 1)**2)) + 63.9735,-2.3,0.9060728730379578,0.8391553992823727,0.8978087409795097,4.244568938013501,3.6950820098265296,0.4054994451711133,0.42919618416333755,0.4113243997432477,41.3691*tanh(0.529801*KDP + 0.0672295*Z - 3.69723) + 41.6753,-1.6,0.9171461480249818,0.8651102671783697,3.4410456375937883,3.6330039349783294,0.3400549513983347,0.40790388900647495,-2.1333333333333333
6,0.9010286501081908,0.9039722287843751,0.9018262595471317,3.650406188624346,3.7906017241200156,0.3650401516789944,0.3836795943765477,0.3697079480850953,171.723*exp(-0.228034*(-ZDR - 0.102017)**2 - 17.0521*(-0.119035*KDP + (1 - 0.338969*KDP)**2*(1 - 0.0195604*Z)**2 + 0.356117)**2) + 1.14488,-2.3,0.9242668669618368,0.8868708212373204,0.9148432383863173,2.718149035595077,3.388161594054787,0.2983698172991303,0.3311277861214708,0.30884250912158245,23.8652*(KDP + 0.242077)**2 + 34.8537*exp(-42.6946*(0.600532 - KDP)**2 - 0.690901*(0.0277296*Z - 1)**2*(0.250111*Z - 1)**2) + 1.22597,-2.3,0.8839804391109884,0.9316374263134415,0.8963651965663942,4.358628124857817,3.4183048313267697,0.43373228956685766,0.34690417912688143,0.4142193775417192,46.6823*tanh(0.472257*KDP + 0.0621635*Z - 3.53402) + 46.2358,-1.6,0.903091985393672,0.9074934921117123,3.5757277830257466,3.5323560498338575,0.3657140861816608,0.35390385320830003,-2.0666666666666664
7,0.9064747655416721,0.8787257136881254,0.9010807763607963,3.723828337224344,3.627262698905439,0.36804190893841676,0.38078295788068495,0.37110898374519863,(-34.11390767*KDP - 28.76005112)/(0.0535923*Z + exp(-974.409*(RhoHV - 0.987162)**2 - 0.182877*(ZDR + 0.519888)**2) - 4.1584) - 13.1213,-2.1,0.9124355161887293,0.9413367700866022,0.9230355854307789,2.721822010954976,2.8605902383185478,0.30227073371393925,0.2711861579801319,0.2936111124382356,14.6349*((4.48684 - 0.145703*Z)*(-0.38563*KDP - 0.242456) + exp(-15.6053*(0.629912 - KDP)**2 - 131.084*(0.0257802*Z - 1)**2))**2 + 2.11435,-2.3,0.8953543728938734,0.9397885978450307,0.9090456337798085,4.006798432502671,3.477838937955076,0.41131554123239256,0.3229506453270156,0.38805150641064967,(23.2041150198*KDP + 46.378301931)*exp(-12.012*(1 - 0.0166518*Z)**2 - 2.0*exp(-40.7271*(0.298428 - KDP)**2 - 6.07671*(1 - 0.643237*ZDR)**2)) + 0.791359,-2.3,0.9047548848747583,0.9199503605399194,3.4841495935606637,3.3218972917263545,0.3605427279615829,0.3249732537292775,-2.2333333333333334
8,0.9120791773607608,0.8680929988552174,0.9014596326955302,3.505221343127693,4.205743386142176,0.3564833488282299,0.4051265044169977,0.3703976363311336,136.687*exp(-0.27841*(0.0942905 - ZDR)**2 - 17.0924*(-0.132332*KDP + (1 - 0.27946*KDP)**2*(0.0196195*Z - 1)**2 + 0.341929)**2) + 1.01904,-2.3,0.9260478751070158,0.7945601572775094,0.8904739112697794,2.6597969216863273,4.695655031501424,0.29111239566067065,0.46252642905791724,0.35025657197164906,(30.0957446383*ZDR + 11.0710120796)*exp(-4.9446*(0.840251*KDP - 1)**2 - 125.571*(-0.0966534*KDP - 0.951013*RhoHV - 0.0230621*ZDR + 1)**2) + 1.82052,-2.2,0.9135941842096399,0.8989969745549394,0.9098072557169512,3.761592953886258,4.1545082148799946,0.37424002477879037,0.4218928000112481,0.38642338308381213,63.436*exp(-14.2956*(0.0650809*KDP + 0.0161654*Z - 1)**2 - 2.0*exp(-48.3434*(KDP - 0.327024)**2 - 4.99578*(0.535342*ZDR - 1)**2)) + 1.53815,-2.3,0.9172404122258055,0.8538833768958888,3.308870406233426,4.351968877507865,0.34061192308923033,0.42984857782872105,-2.2666666666666666
9,0.8989360146086994,0.8995783628466458,0.8991140850558563,3.6736047733652932,3.919220933066935,0.36907087069563904,0.3911917321983065,0.3747799826191246,131.709*exp(-6.57449*(1 - 0.344276*KDP)**2*(1 - 0.0102248*Z)**2 - 2.0*exp(-2.6326*(1 - 0.188559*ZDR)**2 - 5.35501*(0.658194*ZDR - 1)**2)) - 2.07746,-2.4,0.9282385999443078,0.9580810194852469,0.9355266380253016,2.672594169027848,2.011105328810856,0.28492475149550617,0.21344356910864448,0.2687309342412359,58.0967 - 68.4041*exp(-0.459895*(KDP + 0.495075)**2 - 11.79*(exp(-6.83538*(1 - 0.0344704*Z)**2 - 5.78763*(KDP - 0.732112)**2) - 0.122661)**2),-2.2,0.9264015965787541,0.7533174964406539,0.8960855033912862,3.6646394173738726,5.3320018375761515,0.36574978375445283,0.5363232352118875,0.41477795567593734,59.9236*exp(-14.954*(0.0188868*Z - 1)**2 - 21.8212*(0.170505*KDP - 0.0373105*ZDR + (RhoHV - 0.357406)**2 - 0.551836)**2) + 1.65805,-2.2,0.9178587370439204,0.8703256262575155,3.336946119922338,3.754109366484647,0.3399151353151993,0.3803195121729462,-2.2666666666666666
