,c0_train_r2,c0_test_r2,c0_all_r2,c0_train_rmse,c0_test_rmse,c0_train_nrmse,c0_test_nrmse,c0_all_nrmse,c0_equation,c0_simplicity,c1_train_r2,c1_test_r2,c1_all_r2,c1_train_rmse,c1_test_rmse,c1_train_nrmse,c1_test_nrmse,c1_all_nrmse,c1_equation,c1_simplicity,c2_train_r2,c2_test_r2,c2_all_r2,c2_train_rmse,c2_test_rmse,c2_train_nrmse,c2_test_nrmse,c2_all_nrmse,c2_equation,c2_simplicity,mean_train_r2,mean_test_r2,mean_train_rmse,mean_test_rmse,mean_train_nrmse,mean_test_nrmse,mean_simplicity
0,0.7843855989294655,0.8308174091248973,0.7968494471981886,3.7092372733285477,3.297717183232405,0.4601629229000195,0.47538533262359056,0.46413456766503375,53.4971*exp(-2.13573*(0.906047*KDP - 1)**2 - 37.6269*(-0.0214535*Z + (0.17987949045 - 0.1160090712*ZDR)*(2.05913*KDP - 0.879592) + 1)**2) + 2.3864,-2.2,0.7455569634751775,0.7152681408560666,0.7387168410387008,2.816153799340512,2.7988260683284345,0.45652800017710415,0.4673657180921407,0.4591819343640551,(42.0442601*KDP - 9.4082846825*ZDR + 19.5727987)*exp(-937.175*(0.987606 - RhoHV)**2 - 14.3514*(1 - 0.396739*KDP)**2*(1 - 0.0204431*Z)**2) + 0.856015,-2.3,0.8375179710216876,0.6970387521699078,0.8103401137521276,6.371193473450141,7.427847596876279,0.20331238633339774,0.25158203853966293,0.2154488702967898,(111.011681472 - 88.268233344*ZDR)*exp(-0.88707*(-0.237646*ZDR - 1)**2 - 167.713*(0.0212597*Z + 0.00900414*ZDR - 1)**2) + 34.9422*exp(0.655013*KDP) - 25.3812,-2.2,0.7891535111421102,0.7477081007169573,4.2988615153730665,4.508130282812373,0.3733344364701738,0.3981110297517981,-2.2333333333333334
1,0.8192638548626263,0.6826302812604944,0.7839032703695386,3.3756723694414994,4.609346120761767,0.44636091834101493,0.5471278554186494,0.4786951284923851,(8.297512862 - 1.4645484818*ZDR)*(0.0539961*Z - 1)**2 + 27.4014*exp(-9.36825*(0.710773 - KDP)**2 - 60.2208*(-0.0196682*Z - 0.0433291*ZDR + 1)**2) + 0.698351,-2.3,0.7357182205280297,0.7270197498104455,0.7336177832273759,2.844379530389884,2.8233520288039773,0.46469196706255256,0.460487405419937,0.46364085551892104,39.1932*exp(-12.5272*(1 - 0.0200382*Z)**2 - 3.22728*(-KDP - 0.107515*ZDR + 0.097802*exp(1.21431*ZDR) + 0.430414)**2) + 0.921957,-2.2,0.8107374628499739,0.7628858266794774,0.8014708569828031,6.894853246960469,6.538887562017944,0.22228727177463717,0.21458187325767147,0.22042894003332975,34.7087*KDP + (10.7527572686 - 6.2099344518*ZDR)*(2.85981*KDP + 52.1793*RhoHV - 51.5122) + 2.30205,-1.8,0.7885731794135434,0.724178619250139,4.371635048930617,4.657195237194563,0.3777800523927349,0.4073990446987526,-2.1
2,0.8494017981647073,0.6770561560825055,0.8157252943468645,3.216146246010233,4.030651922190052,0.40436889471752835,0.5554028045866586,0.4420463141723402,(3.17944926504*Z - 56.478300408)*(exp(-5.09234*(0.930943 - KDP)**2 - 5.13722*(0.194887*ZDR - 1)**2) + exp(-7.75726*(0.0137277*Z - 1)**2 - 0.110429*(ZDR + 0.940879)**2)) + 1.37966,-2.4,0.7434354462852261,0.7152223980053919,0.7370260975256986,2.827860576316065,2.7999844367599787,0.4635748782945385,0.452062859358324,0.46066520444396053,28.5646*exp(-32.2846*(0.884408 - KDP)**2*(1 - 0.010316*Z)**2*(0.0174635*Z - 1)**2*(0.267231*ZDR + 1)**2 - 2979.38*(RhoHV - 0.987444)**2) + 1.83022,-2.3,0.8229968417287342,0.7624027099798857,0.8071668910451751,6.382023795669562,7.5962520152085755,0.20566381586066088,0.249611035914115,0.21724374454771442,11.1857*exp(1.14176*KDP + exp(-2.31114*(0.887567 - KDP)**2 - 347.995*(1 - 0.973921*RhoHV)**2*(ZDR + 0.365115)**2)) - 0.372559,-2.2,0.8052780287262226,0.7182270880225944,4.14201020599862,4.808962791386202,0.35786919629090924,0.4190255666196992,-2.3
3,0.7580891120228461,0.7750373905006387,0.7668377844342654,3.6561752739039326,4.440738052669393,0.5030661304493952,0.4772214857107773,0.4972376409605389,32.0098*exp(-15.8466*(1 - 0.0203352*Z)**2 - 1.38194*(-0.492521*ZDR - 1)**2*(KDP + 0.043624*ZDR - 0.761689)**2) + 1.95407,-2.2,0.7195127917045014,0.7742080164162609,0.7316951555550237,2.9690419615905643,2.45611862646851,0.4802098695537962,0.4130660731652655,0.4653110234466718,28.1609*exp(-535.456*(0.98955 - RhoHV)**2 - 13.7732*(0.981059*KDP - 1)**2*(0.0188753*Z - 1)**2*(0.186841*ZDR + 1)**2) + 1.1838,-2.3,0.7892340602403547,0.8167788088561994,0.799628069469935,6.601674374611264,7.4978517996531915,0.21865988776355955,0.22771224554773115,0.22144960990935791,35.219*KDP - (3.2734942801*ZDR - 5.7913917534)*(65.6278*RhoHV + 0.456325*Z - 82.2749) + 2.82358,-1.9,0.7556119879892341,0.7886747385910331,4.408963870035254,4.798236159597032,0.40064529592225034,0.37266660147459135,-2.1333333333333333
4,0.8126503670702498,0.7898186035532081,0.8087381606935109,3.6139140281938227,3.1493821225868515,0.47591795483852417,0.3779733713628221,0.45034886715023503,1.2418 + 67.6119*exp(-21.1871*(0.0155473*Z - 1)**2*(-0.0794121*ZDR + exp(-10.5493*(0.700789 - KDP)**2 - 2.77057*(0.160274*ZDR - 1)**2) - 0.761313)**2),-2.3,0.7447692345429959,0.718625086657056,0.740485271698865,2.8807728036795277,2.552774053624635,0.4577914371598904,0.4545038828652366,0.4576253662087378,30.2157*exp(-1853.3*(RhoHV - 0.986049)**2 - 19.9506*(0.0144753*Z + (0.295405210381 - 0.063164857262*ZDR)*(0.960374*KDP + 0.744884) - 1)**2) + 1.17295,-2.2,0.8270584730066842,0.7322959453407275,0.8054787579084318,6.441592021268331,7.549725816429916,0.21062453775203838,0.23768791055198144,0.2181925889222015,57.4763*KDP + 0.706275*Z - 50.2291*exp(-1.39919*(1 - 0.477991*ZDR)**2 - 1.15926*(0.635793*KDP - 1)**2) - 14.1805,-2.1,0.79482602487331,0.7469132118503307,4.3120929510472275,4.417293997547135,0.381444643250151,0.3567217215933467,-2.1999999999999997
5,0.7912233857122388,0.7522793045460643,0.7823126970190725,3.7034727201353697,3.8368584740220766,0.4689674583176248,0.5167007168860991,0.48045360901986695,49.203*exp(-0.692741*(0.656043 - KDP)**2*(ZDR + 0.997692)**2 - 13.6319*(1 - 0.0171648*Z)**2*(0.0788745*ZDR - 1)**2) + 2.0761,-2.2,0.7329939038477193,0.7369280902921574,0.7339316005552996,2.8710891868155035,2.734227276031255,0.46716144440545654,0.4514258143733229,0.46336767397297973,41.8496*exp(-14.9795*(1 - 0.956934*KDP)**2*(1 - 0.0171663*Z)**2 - 1652.67*(RhoHV - 0.0250648*ZDR - 0.978825)**2) + 1.66273,-2.2,0.8350551076983233,0.6897045920282898,0.8075234487028793,6.457680329451863,7.381550020997364,0.20964638615710848,0.23726185936733712,0.21704280457157252,38.7286*KDP - (1.4971974855*Z - 56.1641945792)*(0.802519*ZDR - 0.692511 + 1/(40.0339*RhoHV - 40.6495)) - 0.0309078,-2.0,0.7864241324194271,0.7263039956221705,4.344080745467578,4.650878590350231,0.3819250962933966,0.4017961302089197,-2.1333333333333333
6,0.7808732966064033,0.7806913096038623,0.781378500813519,3.5632580204321957,4.243106328768388,0.4723431331376479,0.5003096122333076,0.4814834289046496,23.9206*tanh(0.0778161*Z + (1.00166 - 2.41087*KDP)*(-0.322648*ZDR - 0.164701) - 3.57217) + 24.7147,-1.9,0.750260953776442,0.6484975026637054,0.7275144537661091,2.790920675571578,3.100307727134086,0.44816733248592666,0.5333933485555497,0.4689222275738126,25.2941*exp(-18.8181*(1 - 0.0225733*Z)**2 - 4.88134*(KDP - 0.171771*ZDR - 0.384103)**2) + 1.58817,-2.0,0.8125696738915474,0.7789371429156235,0.8046129971056393,6.677379015686244,6.972275573252227,0.2169509187325389,0.22358517190486704,0.21867760759403684,35.446*KDP - (156.37015671*RhoHV - 145.297196455)*(0.485002*Z - 18.9985)*(0.398748*ZDR - 0.721124) + 2.36632,-1.9,0.7812346414247976,0.7360419850610637,4.343852570563339,4.771896543051567,0.37915379478537115,0.41909604423124147,-1.9333333333333333
7,0.7986832996273475,0.7808857008923555,0.7948568398360856,3.654916706068015,3.5467708029749607,0.46191350368574524,0.4806277728425921,0.4664052510915564,39.2982*exp(-18.7961*(KDP - 0.647973)**2 - 1.45352*(0.130586*ZDR - 1)**2) + 39.2982*tanh((0.361616*ZDR + 1.96795)*tanh(0.0441693*Z - 2.25053)) + 39.5601,-2.2,0.748957985591922,0.7132029426174186,0.7396608966092872,2.7378613350973264,3.0036754876978553,0.44608863310695507,0.49387595706233506,0.4583516367992306,36.2087*exp(-1498.69*(0.987434 - RhoHV)**2 - 12.1656*(1 - 0.901522*KDP)**2*(0.0177934*Z - 1)**2*(-0.191128*ZDR - 1)**2) + 1.34959,-2.3,0.8139881899582804,0.7681073180363099,0.8023603320033033,6.581900930695807,7.379722938398374,0.21303449355144422,0.23933304073940362,0.2199345890876931,39.7532*KDP - (7.2318311416 - 3.772088116*ZDR)*(-69.1303*RhoHV - 0.238429*Z + 76.3465) - 1.30348,-1.9,0.7872098250591834,0.7540653205153612,4.324892990620383,4.64338974302373,0.3736788767813815,0.4046122568814436,-2.1333333333333333
8,0.8007616531568279,0.8105198222115269,0.803496010800979,3.5553395974578583,3.5375199145429934,0.4661810087311484,0.42963163348581956,0.4564787828564319,78.2944*exp(-2.34446*(1 - 0.847434*KDP)**2 - 21.9126*(0.0198094*Z + (0.113202272736 - 0.068156165088*ZDR)*(1.29854 - 3.07887*KDP) - 1)**2) + 2.17766,-2.2,0.7233647034364438,0.7606490981926526,0.7321980463627928,2.9465283499954578,2.524029618976013,0.4695827580689705,0.4451163491765719,0.464874746591159,13.5912*tanh(0.106633*Z - 0.365281*ZDR + exp(-7.52419*(0.471176 - KDP)**2 - 5304.69*(0.986911 - RhoHV)**2) - 4.52636) + 15.3751,-2.2,0.7920084024367702,0.7714222122116361,0.7860933220820493,6.794212161011011,7.816545270737923,0.22068688714563423,0.2508589165880318,0.22880665381745485,36.625*KDP + 9.56444*(-0.0599512*Z + 0.735833*ZDR + 1)**2 - 2.06333,-1.8,0.7720449196766807,0.7808637108719386,4.432026702821442,4.626031601418976,0.385483551315251,0.375202299750141,-2.066666666666667
9,0.8085617784685926,0.7664292906050011,0.7973977339266087,3.4161936777323496,4.119677123849154,0.45678844552512476,0.4748729618808157,0.4635078138693321,34.7914*exp(-0.719973*(0.171255 - ZDR)**2 - 16.1288*(1 - 0.018721*Z)**2) + 34.7914*exp(-3.54621*(1 - 0.220729*ZDR)**2 - 12.0882*(KDP - 0.631997)**2) + 1.77264,-2.4,0.7218434942596172,0.7449473096268389,0.7273184016228913,2.950621436516091,2.6245862216429026,0.4735822044787822,0.45225258765405524,0.4690908909736719,35.5575*exp(-0.449875*(ZDR - 0.194515)**2 - 12.4758*(0.29276*KDP + 0.0173011*Z - 1)**2) + 0.725393,-2.0,0.8139229229532868,0.7835525818807753,0.8070244998307763,6.677499780972071,6.809792816283594,0.21784850970100092,0.2157796723549921,0.217323937965766,28.5054*KDP + 41.3666*exp(-1.38262*(0.304614*KDP - 1)**2 - 81.5337*(-0.0239827*Z + 0.188681*ZDR + 1)**2) + 7.05907,-2.1,0.7814427318938323,0.7649763940375385,4.348104965073504,4.518018720591884,0.38273971990163597,0.380968407296621,-2.1666666666666665
