,n0_train_r2,n0_test_r2,n0_all_r2,n0_train_rmse,n0_test_rmse,n0_train_nrmse,n0_test_nrmse,n0_all_nrmse,n0_equation,n0_simplicity,n1_train_r2,n1_test_r2,n1_all_r2,n1_train_rmse,n1_test_rmse,n1_train_nrmse,n1_test_nrmse,n1_all_nrmse,n1_equation,n1_simplicity,n2_train_r2,n2_test_r2,n2_all_r2,n2_train_rmse,n2_test_rmse,n2_train_nrmse,n2_test_nrmse,n2_all_nrmse,n2_equation,n2_simplicity,mean_train_r2,mean_test_r2,mean_train_rmse,mean_test_rmse,mean_train_nrmse,mean_test_nrmse,mean_simplicity
0,0.577476193529859,0.6330451348475309,0.5918276461301664,1.7947969008745681,1.701546855651365,0.4620336687405449,0.42707395679850296,0.4532443733870079,14.0754*exp(-41.0903*(0.178971 - KDP)**2*(ZDR + 0.253934)**2 - 23.0611*(1 - 0.0237193*Z)**2) + 1.62759,-2.1,0.4799882583401428,0.39566647569545244,0.46063067599817875,4.712232812425432,4.894633662062602,0.3719736312208083,0.4017888620723399,0.3792631023231009,14.3764*exp(-1138.05*(1 - 0.0229552*Z)**2*(KDP - 0.385798)**2 - 1.42631*(ZDR - 0.417117)**2) + 6.5,-2.0,0.7697459796620983,0.761298090296441,0.7676212333227465,7.14500629218582,7.444667666458887,0.23066454343716294,0.2357228487530389,0.23199140382557062,(-10.1423526498*KDP + 2.82833695648*ZDR + 0.137040887424)*(-45.1283*RhoHV - 0.233992*Z + 51.4835) + 19.7401,-1.8,0.6090701438440335,0.596669900279808,4.550678668495273,4.680282728057619,0.3548906144661721,0.35486188920796063,-1.9666666666666666
1,0.6036819076068285,0.5587115643765392,0.5914540684952736,1.7068323552742013,1.9572465551533067,0.44276597745067064,0.4805323355775287,0.4534517407336576,22.2306*exp(-29.1065*(0.179411 - KDP)**2*(-ZDR - 0.365114)**2 - 15.5321*(0.0209462*Z - 1)**2) + 1.32553,-2.1,0.49588615727148455,0.35468984154795,0.4614786660446841,4.554285729351037,5.310922692312278,0.3557538816040946,0.45079213867003254,0.3789648485762646,1.1245*Z + 20.6015*exp(-2.56984*(KDP - 0.676593)**2 - 0.953484*(ZDR - 0.436242)**2) - 39.9527,-1.9,0.7851254696339418,0.7643452412382535,0.780122146180811,6.943120378965258,7.261769985543564,0.22115890768871568,0.2393868534504127,0.22566510905137172,39.0366*KDP - (4.441910265 - 2.267254629*ZDR)*(-64.0755*RhoHV - 0.396837*Z + 76.1942) - 1.74553,-1.9,0.6282311781707516,0.559248882387581,4.401412821196832,4.843313077669716,0.339892922247827,0.390237109232658,-1.9666666666666668
2,0.6064708472688989,0.5536102795378156,0.5930258011202456,1.7261189371114387,1.893098884185432,0.44696361886349834,0.4671735009233832,0.45257865446597617,32.4484*exp(-5513.04*(0.200778 - KDP)**2*(-0.20501*KDP + RhoHV + 0.0761804*ZDR - 0.964059)**2 - 16.4385*(1 - 0.020017*Z)**2) + 1.68223,-2.2,0.4646662570436123,0.46858598936273244,0.4677126120581532,4.832181836301494,4.3970086010896665,0.37791809570077767,0.37175471903311436,0.37676500702510385,19.2287*KDP + 14.3702*exp(-1.62116*(0.407404 - ZDR)**2 - 229.92*(0.536981*RhoHV + 0.0107743*Z - 1)**2) + 3.39752,-2.1,0.7822971728789958,0.6863601736173031,0.7587710329389925,7.005039002626852,8.320587666584997,0.22324886849983608,0.2738459219529874,0.23636784750882273,1.85263*Z - (252.65731524*RhoHV - 233.02146062)*(-2.25051*KDP + 0.741797*ZDR + 0.154347) - 57.878,-1.9,0.6178114257305024,0.5695188141726171,4.521113258679928,4.870231717286699,0.3493768610213707,0.37092471396982835,-2.066666666666667
3,0.5861105020185557,0.5901844845969304,0.5873470926323758,1.8036753498847984,1.713848981218661,0.45643263657904437,0.4530593252938587,0.45572524082301163,12.1597*exp(-25.4716*(0.0249675*Z - 1)**2 - 25.756*(KDP - 0.111175*ZDR - 0.131466)**2) + 1.6442,-2.0,0.4509827094341765,0.5624025168853874,0.47361258497217873,4.954682083811595,3.8400859407394927,0.39230344198147304,0.31226508295616684,0.3746711217177571,7.04311*KDP + 1.17*Z + 12.9415*exp(-7.72534*(KDP - 0.381355)**2 - 397.063*(-RhoHV + 0.0525347*ZDR + 0.967249)**2) - 41.4989,-2.1,0.7832355342663004,0.7108582777791987,0.7679755157747074,7.079019894001408,7.6094773813503425,0.22326181733571127,0.258808497114678,0.23181449042860533,(15.41053864*KDP - 4.53750066*ZDR + 0.86041190676)*(26.6484*RhoHV + 0.161948*Z - 31.5148) + 20.018,-1.8,0.6067762485730109,0.6211484264205055,4.6124591092326,4.387804101102833,0.35733263196540954,0.3413776351215678,-1.9666666666666666
4,0.6000812445258088,0.5533926528748596,0.5890575138371167,1.77004826912815,1.8014360003803964,0.4531706189644658,0.45953679122117846,0.45477978338610003,14.2485*exp(-31.4335*(0.176784 - KDP)**2*(ZDR + 0.437666)**2 - 21.2321*(0.0237432*Z - 1)**2) + 1.63521,-2.1,0.46291101061431306,0.44395164887442995,0.4593975612838448,4.773980795363479,4.733629063682969,0.37557907898779447,0.3927112383353179,0.37969639347903494,19.629*KDP + 17.3346*exp(-1.49713*(0.487093 - ZDR)**2 - 23.4503*(1 - 0.0210706*Z)**2) + 2.90058,-2.0,0.807354167569049,0.7526790827212281,0.7947483024243428,6.6374516485366675,7.213913431609974,0.21101658145710828,0.2392286181494727,0.21803039950647154,40.3158*KDP + 27.7665*exp(-12.5642*(0.0190183*Z - 1)**2 - 2.0*exp(-2016.64*(RhoHV - 0.937491)**2*(0.473669*ZDR - 1)**2 - 2.06883*(0.520556*ZDR - 1)**2)) - 6.06657,-2.4,0.6234488075697237,0.5833411281568393,4.393826904342766,4.582992831891113,0.3465887598031228,0.363825549235323,-2.1666666666666665
5,0.6061440532062572,0.6036886193294105,0.6055911187084544,1.7579407226452688,1.692510333167312,0.44823273356255633,0.4371083820224546,0.4455372001885992,18.6222*exp(-10.5828*(1 - 0.0218887*Z)**2 - 2.0*exp(-1.36156*(0.443694*ZDR - 1)**2 - 4.0*exp(-4071.85*(0.999673*RhoHV - 1)**2 - 1082.94*(0.305131*KDP - RhoHV + 0.929234)**2))) + 0.606488,-2.5,0.501894543581433,0.40442455595492877,0.4790777526152461,4.607587646047371,4.877044306646641,0.3642981374711311,0.39834947095884293,0.372721053135216,20.1713*KDP + 1.13554*Z + 12.4815*exp(-239.585*(0.977044 - RhoHV)**2 - 0.720775*(ZDR - 0.341737)**2) - 44.7365,-2.1,0.7886633752308748,0.7633522965952568,0.7827884984712671,6.926143884360722,7.1451535894731215,0.22044309236690762,0.2361209725098743,0.22429266986760776,37.0897*KDP + 47.484*exp(-1.10634*(0.333309 - ZDR)**2 - 133.077*(0.697639*RhoHV + 0.00499114*Z - 1)**2) + 0.349028,-2.1,0.632233990672855,0.5904884906265321,4.4305574176844535,4.5715694097623585,0.344324654466865,0.3571929418303906,-2.233333333333333
6,0.5828176172618124,0.6119721586448463,0.5902699928566597,1.7914396077112433,1.7260676803996364,0.46213230490790685,0.4306041605764337,0.4541083776568212,16.292*exp(-18.9265*(1 - 0.0230094*Z)**2 - 25.4241*(-KDP + 0.117544*ZDR + 0.121447)**2) + 1.45664,-2.0,0.4785667701713866,0.4872183807455469,0.4804292140024454,4.785859819031595,4.3052117250505395,0.38137827337877717,0.34331511940265635,0.3722372522940836,1.15615*Z + (27.3470580684*KDP + 7.08563500212)*exp(-269.809*(RhoHV - 0.979166)**2 - 0.786408*(ZDR - 0.400172)**2) - 41.3097,-2.0,0.7920266138662804,0.743019744602893,0.782471587698926,7.01180842638727,6.912129712399696,0.22181424607644923,0.23282297013544218,0.22445623131576328,35.8669*KDP - (20.1273266115*ZDR - 37.877846355)*(0.0595827*Z + tanh(9.43482*RhoHV - 9.62628) - 1.79501) + 0.137635,-1.9,0.6178036670998265,0.6140700946644287,4.529702617710036,4.314469705949957,0.35510827478771106,0.3355807500381774,-1.9666666666666668
7,0.5995034272906754,0.5751155326715341,0.5931121766784545,1.7388256720424566,1.8571702339049152,0.4466660949295454,0.4690797040474644,0.4525306246296467,13.0737*exp(-69.5404*(0.173752 - KDP)**2*(KDP + (50.338839055*RhoHV - 47.7361534325)*(0.354165*ZDR - 0.0922975) + 0.445387)**2 - 29.173*(0.0247478*Z - 1)**2) + 1.68122,-2.3,0.4693170230092697,0.4455625640992332,0.4644619234493237,4.790946490033975,4.59020600235825,0.37831678859440304,0.37639664777996884,0.3779137112272441,17.8132*exp(-198.826*(KDP - 0.516213)**2*(0.0211062*Z - 1)**2 - 1.0798*(ZDR - 0.411852)**2) + 5.24765,-2.0,0.7773184745981812,0.782558762685249,0.7800855755667901,6.935865244420034,7.284648141236629,0.22773283167800498,0.2198741443342205,0.22568387485323302,(0.065445966672*KDP - 0.0362056*(0.239369*Z - 9.61017)*(0.354271*ZDR - 0.558725) - 0.0061401439096)*exp(6.46578*RhoHV) + 7.644,-2.0,0.6153796416327088,0.6010789531520054,4.488545802165489,4.577341459166598,0.3509052384006512,0.3551168320538846,-2.1
8,0.6027812399400126,0.5876163555037646,0.5993961298561483,1.7050799474721026,1.898520514023704,0.44492407267561956,0.4584701325543535,0.44902259843996656,0.0567899*exp(0.1413*Z - 2.0*(-0.359123*ZDR + exp(-65.7775*(0.200482 - KDP)**2 - 35.4496*(1 - 0.0303636*Z)**2) - 0.494312)**2) + 0.718513,-2.3,0.46620087299360324,0.44217991369465937,0.4605993112130907,4.773925599681557,4.712432802265234,0.379000436996018,0.380084265001344,0.37927412939883404,19.9147*KDP + 13.5131*exp(-1.49127*(0.403913 - ZDR)**2 - 41.6418*(1 - 0.0228233*Z)**2) + 3.04212,-2.0,0.8197825698228881,0.6095760615330639,0.7856426040652085,6.633293452963532,7.767830414554867,0.2066913856806499,0.27493834579900167,0.22281422199779743,35.8891*KDP + 29.1122*exp(-423.313*(1 - 0.99939*RhoHV)**2 - 27.6891*(0.0214848*Z - 0.181121*ZDR - 1)**2) + 1.27008,-2.1,0.6295882275855013,0.5464574435771626,4.370766333372397,4.792927910281269,0.3435386317840958,0.3711642477848997,-2.1333333333333333
9,0.6020330594458163,0.5694233561774196,0.5946650622071952,1.7723099650193441,1.7460230528482494,0.44993387801090995,0.4569859197542901,0.4516662585927386,16.5101*exp(-2319.78*(KDP - 0.171019)**2*(-RhoHV - 0.143311*ZDR + 0.962138)**2 - 20.162*(0.0228443*Z - 1)**2) + 1.62987,-2.2,0.46054151735454374,0.4522455246285576,0.4585779983307352,4.700421919843926,4.963431003413245,0.3770958906884557,0.3880014936572226,0.3799840977363792,1.04184*Z + 16.1305*exp(-6.48749*(KDP - 0.445543)**2 - 1.11538*(ZDR - 0.425604)**2) - 35.6795,-1.9,0.7966773007269026,0.7287663818265535,0.7832579216717355,6.848019728513073,7.337661163154976,0.2145715988794197,0.254928403481047,0.22405017550332712,28.817*KDP - (22.6912 - 24.396*RhoHV)*(57.523856733 - 1.5378515203*Z)*(-0.479496*KDP + 0.731125*ZDR - 0.981417) + 6.23156,-2.0,0.6197506258424209,0.5834784208775102,4.440250537792115,4.6823717398054905,0.34720045585959514,0.36663860563085326,-2.033333333333333
