epoch,lr,step,time,train_acc_epoch,train_loss,valid_acc_epoch,valid_loss
100,,16949,,,0.8678649067878723,,
100,,16999,,,0.8332107067108154,,
100,,17049,,,0.8049971461296082,,
100,,17068,,,,0.6563406586647034,0.8400586843490601
100,0.0010000000474974513,17068,39.18383026123047,0.6569674611091614,,,
101,,17099,,,0.8469071984291077,,
101,,17149,,,0.8168830275535583,,
101,,17199,,,0.8047683835029602,,
101,,17237,,,,0.6557954549789429,0.8392504453659058
101,0.0010000000474974513,17237,68.4088134765625,0.6578211188316345,,,
102,,17249,,,0.8311701416969299,,
102,,17299,,,0.8235740065574646,,
102,,17349,,,0.8448594212532043,,
102,,17399,,,0.8264660239219666,,
102,,17406,,,,0.6553198099136353,0.8418827652931213
102,0.0010000000474974513,17406,108.68693542480469,0.6581076383590698,,,
103,,17449,,,0.8235719799995422,,
103,,17499,,,0.8227555155754089,,
103,,17549,,,0.8400968313217163,,
103,,17575,,,,0.6547809839248657,0.8495957851409912
103,0.0010000000474974513,17575,143.79185485839844,0.6584292650222778,,,
104,,17599,,,0.8281568884849548,,
104,,17649,,,0.8454915881156921,,
104,,17699,,,0.8218423128128052,,
104,,17744,,,,0.6558178067207336,0.8260231018066406
104,0.0010000000474974513,17744,172.55520629882812,0.6589778065681458,,,
105,,17749,,,0.8841484785079956,,
105,,17799,,,0.8149716854095459,,
105,,17849,,,0.822150707244873,,
105,,17899,,,0.8453707098960876,,
105,,17913,,,,0.6573716402053833,0.8373064398765564
105,0.0010000000474974513,17913,202.01104736328125,0.6594226360321045,,,
106,,17949,,,0.8290380835533142,,
106,,17999,,,0.8455560803413391,,
106,,18049,,,0.8186759352684021,,
106,,18082,,,,0.6581741571426392,0.825417697429657
106,0.0010000000474974513,18082,231.52342224121094,0.6599013209342957,,,
107,,18099,,,0.8069709539413452,,
107,,18149,,,0.8232976198196411,,
107,,18199,,,0.8528602123260498,,
107,,18249,,,0.829820990562439,,
107,,18251,,,,0.6592499017715454,0.825402557849884
107,0.0010000000474974513,18251,258.3502197265625,0.6604298949241638,,,
108,,18299,,,0.8490372896194458,,
108,,18349,,,0.8289334774017334,,
108,,18399,,,0.8359056115150452,,
108,,18420,,,,0.6597896218299866,0.8354154229164124
108,0.0010000000474974513,18420,286.93798828125,0.6607860326766968,,,
109,,18449,,,0.848418116569519,,
109,,18499,,,0.8054819703102112,,
109,,18549,,,0.8272149562835693,,
109,,18589,,,,0.6598155498504639,0.8312315940856934
109,0.0010000000474974513,18589,315.6231384277344,0.6611865162849426,,,
110,,18599,,,0.8190341591835022,,
110,,18649,,,0.8074740767478943,,
110,,18699,,,0.7920974493026733,,
110,,18749,,,0.8134528398513794,,
110,,18758,,,,0.6601666808128357,0.822532594203949
110,0.0010000000474974513,18758,345.86376953125,0.661679744720459,,,
111,,18799,,,0.8153589367866516,,
111,,18849,,,0.824285626411438,,
111,,18899,,,0.8202816247940063,,
111,,18927,,,,0.6610763072967529,0.814007043838501
111,0.0010000000474974513,18927,380.6289978027344,0.6621788740158081,,,
