epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,-0.09151443839073181,,
0,,99,,,-476.0042724609375,,
0,,149,,,-1178900352.0,,
0,,199,,,-204049987141632.0,,
0,,213,,,,0.07670069485902786,-5014811331002368.0
0,4.999999873689376e-05,213,16.560237884521484,0.07697534561157227,,,
1,,249,,,-4.563253630735483e+18,,
1,,299,,,-7.538585549354635e+21,,
1,,349,,,-4.163456708674047e+22,,
1,,399,,,-8.14560209922986e+22,,
1,,427,,,,0.0772990807890892,-1.0833390889241219e+23
1,4.999999873689376e-05,427,29.47624969482422,0.07706533372402191,,,
2,,449,,,-1.3266514631123658e+23,,
2,,499,,,-1.8237975209383165e+23,,
2,,549,,,-2.156415915449347e+23,,
2,,599,,,-2.4493988502158304e+23,,
2,,641,,,,0.07735547423362732,-2.748885703420177e+23
2,4.999999873689376e-05,641,41.60769271850586,0.07700660824775696,,,
3,,649,,,-2.798813869897102e+23,,
3,,699,,,-3.142927071953048e+23,,
3,,749,,,-3.452674205972455e+23,,
3,,799,,,-3.734625483379702e+23,,
3,,849,,,-4.091302287244131e+23,,
3,,855,,,,0.0773770809173584,-4.1438214646586747e+23
3,4.999999873689376e-05,855,54.06247329711914,0.0769684836268425,,,
4,,899,,,-4.438440827385759e+23,,
4,,949,,,-4.761548159915739e+23,,
4,,999,,,-5.14421938054138e+23,,
4,,1049,,,-5.4798391539880754e+23,,
4,,1069,,,,0.07738849520683289,-5.658935781953554e+23
4,4.999999873689376e-05,1069,66.299072265625,0.07694727927446365,,,
5,,1099,,,-5.901608104562756e+23,,
5,,1149,,,-6.231872917908523e+23,,
5,,1199,,,-6.565024718759419e+23,,
5,,1249,,,-7.010548175784643e+23,,
5,,1283,,,,0.07739555090665817,-7.278900744045052e+23
5,4.999999873689376e-05,1283,78.94901275634766,0.07690175622701645,,,
6,,1299,,,-7.320227215377684e+23,,
6,,1349,,,-7.70034183256686e+23,,
6,,1399,,,-8.248819738801595e+23,,
6,,1449,,,-8.595473691623318e+23,,
6,,1497,,,,0.07740035653114319,-8.971624420564467e+23
6,4.999999873689376e-05,1497,90.9221420288086,0.07691771537065506,,,
7,,1499,,,-8.95025574105252e+23,,
7,,1549,,,-9.448884924307756e+23,,
7,,1599,,,-9.736326269804752e+23,,
7,,1649,,,-1.0093504954811655e+24,,
7,,1699,,,-1.0611931241452872e+24,,
7,,1711,,,,0.07740382105112076,-1.0677785397220075e+24
7,4.999999873689376e-05,1711,103.4716796875,0.07694178819656372,,,
8,,1749,,,-1.0931337335665093e+24,,
8,,1799,,,-1.1494721796378454e+24,,
8,,1849,,,-1.1790753127660712e+24,,
8,,1899,,,-1.215331883839789e+24,,
8,,1925,,,,0.07740644365549088,-1.238029449500984e+24
8,4.999999873689376e-05,1925,115.71382904052734,0.07695907354354858,,,
9,,1949,,,-1.261315725705469e+24,,
9,,1999,,,-1.3030075290398736e+24,,
9,,2049,,,-1.332537883998121e+24,,
9,,2099,,,-1.3785668339176687e+24,,
