epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5640053749084473,,
0,,99,,,2.5640311241149902,,
0,,149,,,2.5647506713867188,,
0,,199,,,2.5648927688598633,,
0,,249,,,2.5646536350250244,,
0,,299,,,2.5650646686553955,,
0,,349,,,2.5653903484344482,,
0,,360,,,,0.07681319862604141,2.564988374710083
0,0.0010000000474974513,360,32.96931457519531,0.07712768763303757,,,
1,,399,,,2.564911127090454,,
1,,449,,,2.5650854110717773,,
1,,499,,,2.5651659965515137,,
1,,549,,,2.5650336742401123,,
1,,599,,,2.5648765563964844,,
1,,649,,,2.5646464824676514,,
1,,699,,,2.565120220184326,,
1,,721,,,,0.07685525715351105,2.5649542808532715
1,0.0010000000474974513,721,62.18033981323242,0.07691992074251175,,,
2,,749,,,2.5646986961364746,,
2,,799,,,2.5649936199188232,,
2,,849,,,2.5648529529571533,,
2,,899,,,2.564927101135254,,
2,,949,,,2.565020799636841,,
2,,999,,,2.5647823810577393,,
2,,1049,,,2.5649640560150146,,
2,,1082,,,,0.07701104134321213,2.564995765686035
2,0.0010000000474974513,1082,92.35824584960938,0.07685563713312149,,,
3,,1099,,,2.564720392227173,,
3,,1149,,,2.5652339458465576,,
3,,1199,,,2.5650877952575684,,
3,,1249,,,2.564704418182373,,
3,,1299,,,2.5647759437561035,,
3,,1349,,,2.565328359603882,,
3,,1399,,,2.5645880699157715,,
3,,1443,,,,0.07708652317523956,2.5649478435516357
3,0.0010000000474974513,1443,121.64579772949219,0.07677282392978668,,,
4,,1449,,,2.564779281616211,,
4,,1499,,,2.5651607513427734,,
4,,1549,,,2.5649757385253906,,
4,,1599,,,2.565002679824829,,
4,,1649,,,2.5649209022521973,,
4,,1699,,,2.5650460720062256,,
4,,1749,,,2.564899444580078,,
4,,1799,,,2.5651350021362305,,
4,,1804,,,,0.07713686674833298,2.564958333969116
4,0.0010000000474974513,1804,151.9686279296875,0.07677099853754044,,,
5,,1849,,,2.56504487991333,,
5,,1899,,,2.564938545227051,,
5,,1949,,,2.5647664070129395,,
5,,1999,,,2.564962387084961,,
5,,2049,,,2.565131187438965,,
5,,2099,,,2.5650508403778076,,
5,,2149,,,2.5648348331451416,,
5,,2165,,,,0.0770612582564354,2.564967393875122
5,0.0010000000474974513,2165,181.78469848632812,0.07677463442087173,,,
6,,2199,,,2.564976215362549,,
6,,2249,,,2.564950466156006,,
6,,2299,,,2.5650367736816406,,
6,,2349,,,2.5652239322662354,,
6,,2399,,,2.5648841857910156,,
6,,2449,,,2.5651040077209473,,
6,,2499,,,2.565033435821533,,
6,,2526,,,,0.07692839205265045,2.564979314804077
6,0.0010000000474974513,2526,212.06857299804688,0.07675699144601822,,,
7,,2549,,,2.5648086071014404,,
7,,2599,,,2.5649702548980713,,
7,,2649,,,2.5648396015167236,,
7,,2699,,,2.5650434494018555,,
7,,2749,,,2.564897298812866,,
7,,2799,,,2.5648927688598633,,
7,,2849,,,2.5651369094848633,,
7,,2887,,,,0.0769428089261055,2.5649642944335938
7,0.0010000000474974513,2887,241.47747802734375,0.07678274065256119,,,
8,,2899,,,2.5646984577178955,,
8,,2949,,,2.5645928382873535,,
8,,2999,,,2.564993143081665,,
8,,3049,,,2.5650126934051514,,
8,,3099,,,2.565042734146118,,
8,,3149,,,2.564922571182251,,
8,,3199,,,2.565051555633545,,
8,,3248,,,,0.07703278213739395,2.5649473667144775
8,0.0010000000474974513,3248,271.6405029296875,0.07674966752529144,,,
9,,3249,,,2.5649945735931396,,
9,,3299,,,2.56494140625,,
9,,3349,,,2.565199613571167,,
9,,3399,,,2.5649101734161377,,
9,,3449,,,2.56496262550354,,
9,,3499,,,2.565080165863037,,
9,,3549,,,2.5650601387023926,,
9,,3599,,,2.5648114681243896,,
9,,3609,,,,0.07709144800901413,2.5649945735931396
9,0.0010000000474974513,3609,298.83203125,0.07677540183067322,,,
10,,3649,,,2.5651168823242188,,
10,,3699,,,2.5648069381713867,,
10,,3749,,,2.5649030208587646,,
10,,3799,,,2.564856767654419,,
10,,3849,,,2.5649683475494385,,
10,,3899,,,2.564845323562622,,
10,,3949,,,2.5650699138641357,,
10,,3970,,,,0.07707732915878296,2.564955234527588
10,0.0010000000474974513,3970,328.792236328125,0.07681180536746979,,,
11,,3999,,,2.5648202896118164,,
11,,4049,,,2.564931869506836,,
11,,4099,,,2.5650885105133057,,
11,,4149,,,2.565025806427002,,
11,,4199,,,2.5651135444641113,,
11,,4249,,,2.5648136138916016,,
11,,4299,,,2.565021276473999,,
11,,4331,,,,0.07706861197948456,2.5649945735931396
11,0.0010000000474974513,4331,358.2874755859375,0.07681773602962494,,,
12,,4349,,,2.5649681091308594,,
12,,4399,,,2.5648818016052246,,
12,,4449,,,2.565059185028076,,
12,,4499,,,2.5651495456695557,,
12,,4549,,,2.5650055408477783,,
12,,4599,,,2.564872980117798,,
12,,4649,,,2.5652153491973877,,
12,,4692,,,,0.07700856029987335,2.564955234527588
12,0.0010000000474974513,4692,387.865966796875,0.07680252194404602,,,
13,,4699,,,2.5648903846740723,,
13,,4749,,,2.5649616718292236,,
13,,4799,,,2.5650861263275146,,
13,,4849,,,2.5650365352630615,,
13,,4899,,,2.5650627613067627,,
13,,4949,,,2.5648858547210693,,
13,,4999,,,2.565037488937378,,
13,,5049,,,2.5650792121887207,,
13,,5053,,,,0.0769725888967514,2.564971446990967
