epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,49,,1.6646091938018799,,
0,60,,,0.25501155853271484,1.6509418487548828
0,60,0.27017802000045776,,,
1,99,,1.495804786682129,,
1,121,,,0.3289754390716553,1.500045657157898
1,121,0.3361569941043854,,,
2,149,,1.408149242401123,,
2,182,,,0.3586372137069702,1.4153738021850586
2,182,0.3664425313472748,,,
3,199,,1.361695647239685,,
3,243,,,0.37623292207717896,1.389230489730835
3,243,0.3838253319263458,,,
4,249,,1.3246347904205322,,
4,299,,1.3524186611175537,,
4,304,,,0.38640516996383667,1.4133933782577515
4,304,0.3953714072704315,,,
5,349,,1.2939330339431763,,
5,365,,,0.3940417170524597,1.3469808101654053
5,365,0.4037167727947235,,,
6,399,,1.373404622077942,,
6,426,,,0.40075716376304626,1.3407527208328247
6,426,0.4105558395385742,,,
7,449,,1.2778643369674683,,
7,487,,,0.4059133529663086,1.3529176712036133
7,487,0.41624608635902405,,,
8,499,,1.3205331563949585,,
8,548,,,0.41066575050354004,1.3010034561157227
8,548,0.42081016302108765,,,
9,549,,1.319521188735962,,
9,599,,1.272675633430481,,
9,609,,,0.4147637188434601,1.3138878345489502
9,609,0.4248510003089905,,,
10,649,,1.233863115310669,,
10,670,,,0.41820985078811646,1.2964675426483154
10,670,0.42844492197036743,,,
11,699,,1.2529356479644775,,
11,731,,,0.42117998003959656,1.2922438383102417
11,731,0.43162986636161804,,,
12,749,,1.2319053411483765,,
12,792,,,0.4240556061267853,1.2763726711273193
12,792,0.434378445148468,,,
13,799,,1.240722894668579,,
13,849,,1.2352367639541626,,
13,853,,,0.42698433995246887,1.2723705768585205
13,853,0.436981201171875,,,
14,899,,1.2262173891067505,,
14,914,,,0.42960941791534424,1.2665334939956665
14,914,0.4393386244773865,,,
15,949,,1.2489653825759888,,
15,975,,,0.4320127069950104,1.2546330690383911
15,975,0.44152307510375977,,,
16,999,,1.2592848539352417,,
16,1036,,,0.4342593252658844,1.2565391063690186
16,1036,0.44361501932144165,,,
17,1049,,1.2064487934112549,,
17,1097,,,0.436336487531662,1.2409253120422363
17,1097,0.44550859928131104,,,
18,1099,,1.2245625257492065,,
18,1149,,1.2384045124053955,,
18,1158,,,0.43729138374328613,1.3417285680770874
18,1158,0.4473170042037964,,,
19,1199,,1.2422014474868774,,
19,1219,,,0.4385725259780884,1.2312191724777222
19,1219,0.4490162432193756,,,
20,1249,,1.2546601295471191,,
20,1280,,,0.44012510776519775,1.285660982131958
20,1280,0.45073753595352173,,,
21,1299,,1.2380465269088745,,
