epoch,lr,step,test_acc,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,,2.564715623855591,,
0,,99,,,,2.5649337768554688,,
0,,149,,,,2.5650453567504883,,
0,,180,,,,,0.07699824869632721,2.564988851547241
0,0.0010000000474974513,180,0.0,17.10064697265625,0.07668368518352509,,,
1,,199,,,,2.5645153522491455,,
1,,249,,,,2.5648505687713623,,
1,,299,,,,2.5652244091033936,,
1,,349,,,,2.5650558471679688,,
1,,361,,,,,0.07675934582948685,2.564951181411743
1,0.0010000000474974513,361,0.0,30.01992416381836,0.07691144943237305,,,
2,,399,,,,2.564723253250122,,
2,,449,,,,2.564941644668579,,
2,,499,,,,2.564786195755005,,
2,,542,,,,,0.07645587623119354,2.56496262550354
2,0.0010000000474974513,542,0.0,43.233367919921875,0.076825812458992,,,
3,,549,,,,2.5650594234466553,,
3,,599,,,,2.5649123191833496,,
3,,649,,,,2.564958333969116,,
3,,699,,,,2.565074920654297,,
3,,723,,,,,0.07656897604465485,2.564969301223755
3,0.0010000000474974513,723,0.0,56.528358459472656,0.0767819732427597,,,
4,,749,,,,2.5649771690368652,,
4,,799,,,,2.56510591506958,,
4,,849,,,,2.5650250911712646,,
4,,899,,,,2.5649805068969727,,
4,,904,,,,,0.07656721025705338,2.5649678707122803
4,0.0010000000474974513,904,0.0,69.81622314453125,0.07672896981239319,,,
5,,949,,,,2.5649960041046143,,
5,,999,,,,2.5649428367614746,,
5,,1049,,,,2.5650007724761963,,
5,,1085,,,,,0.07660011202096939,2.5649516582489014
5,0.0010000000474974513,1085,0.0,82.58549499511719,0.07677553594112396,,,
6,,1099,,,,2.5651559829711914,,
6,,1149,,,,2.5650153160095215,,
6,,1199,,,,2.5650668144226074,,
6,,1249,,,,2.5649051666259766,,
6,,1266,,,,,0.07673551142215729,2.564965009689331
6,0.0010000000474974513,1266,0.0,95.67071533203125,0.0767480805516243,,,
7,,1299,,,,2.5645716190338135,,
7,,1349,,,,2.564890146255493,,
7,,1399,,,,2.564929485321045,,
7,,1447,,,,,0.07684490829706192,2.564953327178955
7,0.0010000000474974513,1447,0.0,109.03886413574219,0.07678739726543427,,,
8,,1449,,,,2.564908266067505,,
8,,1499,,,,2.564871311187744,,
8,,1549,,,,2.564976453781128,,
8,,1599,,,,2.564927101135254,,
8,,1628,,,,,0.07682811468839645,2.5649497509002686
8,0.0010000000474974513,1628,0.0,121.73075103759766,0.07676329463720322,,,
9,,1649,,,,2.5649831295013428,,
9,,1699,,,,2.564969539642334,,
9,,1749,,,,2.56483793258667,,
9,,1799,,,,2.5650346279144287,,
9,,1809,,,,,0.07694710791110992,2.5649547576904297
9,0.0010000000474974513,1809,0.0,134.9122314453125,0.07675804942846298,,,
10,,1849,,,,2.564990520477295,,
10,,1899,,,,2.564945936203003,,
10,,1949,,,,2.564899206161499,,
10,,1990,,,,,0.07697729021310806,2.5649499893188477
10,0.0010000000474974513,1990,0.0,148.12921142578125,0.07678764313459396,,,
11,,1999,,,,2.564861297607422,,
11,,2049,,,,2.5651891231536865,,
11,,2099,,,,2.5649502277374268,,
11,,2149,,,,2.5650198459625244,,
11,,2171,,,,,0.07699259370565414,2.5649468898773193
11,0.0010000000474974513,2171,0.0,161.0653076171875,0.0767989233136177,,,
12,,2199,,,,2.565021276473999,,
12,,2249,,,,2.564950942993164,,
12,,2299,,,,2.5649030208587646,,
12,,2349,,,,2.5649867057800293,,
12,,2352,,,,,0.07703155279159546,2.564953327178955
12,0.0010000000474974513,2352,0.0,174.08807373046875,0.07678671926259995,,,
13,,2399,,,,2.565088987350464,,
13,,2449,,,,2.5650720596313477,,
13,,2499,,,,2.564971685409546,,
13,,2533,,,,,0.07697126269340515,2.5649640560150146
13,0.0010000000474974513,2533,0.0,187.03958129882812,0.07679872959852219,,,
14,,2549,,,,2.5649640560150146,,
14,,2599,,,,2.565062999725342,,
14,,2649,,,,2.5648066997528076,,
14,,2699,,,,2.564997434616089,,
14,,2714,,,,,0.07692718505859375,2.564953565597534
14,0.0010000000474974513,2714,0.0,200.3624725341797,0.07680990546941757,,,
15,,2749,,,,2.5649852752685547,,
15,,2799,,,,2.564831256866455,,
15,,2849,,,,2.564976453781128,,
15,,2895,,,,,0.07692232728004456,2.564955234527588
15,0.0010000000474974513,2895,0.0,213.32142639160156,0.07682451605796814,,,
16,,2899,,,,2.5649447441101074,,
16,,2949,,,,2.5650155544281006,,
16,,2999,,,,2.56498122215271,,
16,,3049,,,,2.5649356842041016,,
16,,3076,,,,,0.07692563533782959,2.564958333969116
16,0.0010000000474974513,3076,0.0,226.23828125,0.07681698352098465,,,
17,,3099,,,,2.564976692199707,,
17,,3149,,,,2.5651330947875977,,
17,,3199,,,,2.565035343170166,,
17,,3249,,,,2.5648632049560547,,
17,,3257,,,,,0.07690652459859848,2.5649585723876953
17,0.0010000000474974513,3257,0.0,239.6433563232422,0.07682471722364426,,,
18,,3299,,,,2.564931631088257,,
18,,3349,,,,2.5649616718292236,,
18,,3399,,,,2.564955711364746,,
18,,3438,,,,,0.07692001014947891,2.5649609565734863
18,0.0010000000474974513,3438,0.0,252.4582061767578,0.0768333151936531,,,
19,,3449,,,,2.5648486614227295,,
19,,3499,,,,2.564901828765869,,
19,,3549,,,,2.5648765563964844,,
19,,3599,,,,2.5648107528686523,,
19,,3619,,,,,0.07692157477140427,2.5649631023406982
19,0.0010000000474974513,3619,0.0,265.48040771484375,0.07684803754091263,,,
20,,3649,,,,2.5648434162139893,,
20,,3699,,,,2.564970016479492,,
20,,3749,,,,2.564854860305786,,
20,,3799,,,,2.565033197402954,,
20,,3800,,,,,0.07694210857152939,2.5649425983428955
20,0.0010000000474974513,3800,0.0,278.6397705078125,0.07684773206710815,,,
21,,3849,,,,2.5649616718292236,,
21,,3899,,,,2.5648980140686035,,
21,,3949,,,,2.56489634513855,,
21,,3981,,,,,0.07695605605840683,2.564955234527588
21,0.0010000000474974513,3981,0.0,291.675048828125,0.07684723287820816,,,
22,,3999,,,,2.5649142265319824,,
22,,4049,,,,2.564749240875244,,
22,,4099,,,,2.5649592876434326,,
22,,4149,,,,2.564901351928711,,
22,,4162,,,,,0.076963409781456,2.5649609565734863
22,0.0010000000474974513,4162,0.0,304.9124755859375,0.07685258984565735,,,
23,,4199,,,,2.5648648738861084,,
23,,4249,,,,2.5649025440216064,,
23,,4299,,,,2.564974308013916,,
23,,4343,,,,,0.07691557705402374,2.5649640560150146
23,0.0010000000474974513,4343,0.0,317.72528076171875,0.07685038447380066,,,
24,,4349,,,,2.564873695373535,,
24,,4399,,,,2.5648131370544434,,
24,,4449,,,,2.564862012863159,,
24,,4499,,,,2.5648622512817383,,
24,,4524,,,,,0.07692087441682816,2.564965009689331
24,0.0010000000474974513,4524,0.0,330.5506591796875,0.07684651017189026,,,
25,,4549,,,,2.5650298595428467,,
25,,4599,,,,2.564894437789917,,
25,,4649,,,,2.564845085144043,,
25,,4699,,,,2.565030336380005,,
25,,4705,,,,,0.07689395546913147,2.564959764480591
25,0.0010000000474974513,4705,0.0,344.0115051269531,0.07684248685836792,,,
26,,4749,,,,2.5648410320281982,,
26,,4799,,,,2.564981460571289,,
26,,4849,,,,2.5648152828216553,,
26,,4886,,,,,0.07688955962657928,2.564959764480591
26,0.0010000000474974513,4886,0.0,356.6603088378906,0.07684311270713806,,,
27,,4899,,,,2.564969539642334,,
27,,4949,,,,2.5648021697998047,,
27,,4999,,,,2.565006732940674,,
27,,5049,,,,2.5648882389068604,,
27,,5067,,,,,0.0769072026014328,2.5649685859680176
27,0.0010000000474974513,5067,0.0,369.8541259765625,0.07684368640184402,,,
28,,5099,,,,2.5647716522216797,,
28,,5149,,,,2.565016746520996,,
28,,5199,,,,2.564908266067505,,
28,,5248,,,,,0.07692384719848633,2.564962148666382
28,0.0010000000474974513,5248,0.0,382.8448486328125,0.0768544152379036,,,
