df.describe:                  0             1             2             3             4             5             6             7             8             9             10            11            12            13            14
count  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06  2.204147e+06
mean  -8.064935e-04 -4.092831e-04  5.243999e-01  2.378364e-02 -5.935992e-05 -5.001346e-04  5.244159e-01  2.380624e-02  8.504671e-04 -5.260434e-04  5.244352e-01  2.380234e-02  2.134112e-01  2.129047e-01  1.819858e-01
std    9.992826e-01  3.972926e-01  7.664891e-01  5.892273e-01  9.999618e-01  3.973611e-01  7.665058e-01  5.892068e-01  1.000836e+00  3.974241e-01  7.665425e-01  5.892380e-01  2.069601e-01  2.065654e-01  1.783175e-01
min   -1.207706e+00 -1.000000e+00 -9.997354e-01 -1.000000e+00 -1.207703e+00 -8.656907e-01 -9.999559e-01 -1.000000e+00 -1.207697e+00 -9.647748e-01 -1.000000e+00 -1.000000e+00  9.353858e-05  7.818869e-05  6.727997e-05
25%   -8.237563e-01 -3.101219e-01  8.523357e-01 -4.459757e-01 -8.238595e-01 -3.104591e-01  8.522811e-01 -4.458633e-01 -8.238811e-01 -3.103577e-01  8.521775e-01 -4.459509e-01  4.464761e-02  4.457751e-02  3.774490e-02
50%   -3.862992e-01 -3.598125e-02  8.712053e-01  7.559552e-02 -3.855876e-01 -3.596871e-02  8.711132e-01  7.576305e-02 -3.856818e-01 -3.604673e-02  8.709463e-01  7.572189e-02  1.377058e-01  1.371572e-01  1.166026e-01
75%    8.630668e-01  3.097945e-01  9.724712e-01  5.814865e-01  8.668372e-01  3.096650e-01  9.726295e-01  5.815227e-01  8.710916e-01  3.098015e-01  9.729087e-01  5.815743e-01  3.546494e-01  3.535191e-01  3.002683e-01
max    1.912014e+00  8.777479e-01  9.999683e-01  1.000000e+00  1.911689e+00  1.000000e+00  1.000000e+00  9.999905e-01  1.911957e+00  9.322466e-01  9.999540e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00
