epoch,lr,step,train_acc,train_loss,valid_acc,valid_loss
0,,41,,,0.07825025916099548,2.5649595260620117
0,0.0010000000474974513,41,0.0769471675157547,,,
1,,49,,2.565264940261841,,
1,,83,,,0.07745835185050964,2.56499981880188
1,0.0010000000474974513,83,0.0783783495426178,,,
2,,99,,2.565274238586426,,
2,,125,,,0.07763835042715073,2.564978837966919
2,0.0010000000474974513,125,0.07780177891254425,,,
3,,149,,2.5648059844970703,,
3,,167,,,0.07726781815290451,2.5649616718292236
3,0.0010000000474974513,167,0.07758812606334686,,,
4,,199,,2.564789295196533,,
4,,209,,,0.07710985094308853,2.5649774074554443
4,0.0010000000474974513,209,0.07741866260766983,,,
5,,249,,2.565086603164673,,
5,,251,,,0.07704592496156693,2.5649499893188477
5,0.0010000000474974513,251,0.07740666717290878,,,
6,,293,,,0.07716976851224899,2.564959764480591
6,0.0010000000474974513,293,0.07742694765329361,,,
7,,299,,2.56508731842041,,
7,,335,,,0.07710174471139908,2.564973831176758
7,0.0010000000474974513,335,0.07742239534854889,,,
8,,349,,2.564988374710083,,
8,,377,,,0.07708640396595001,2.5649795532226562
8,0.0010000000474974513,377,0.07732455432415009,,,
9,,399,,2.564852237701416,,
9,,419,,,0.07707834243774414,2.564976692199707
9,0.0010000000474974513,419,0.07726266980171204,,,
10,,449,,2.5651004314422607,,
10,,461,,,0.07708662003278732,2.564948797225952
10,0.0010000000474974513,461,0.07718822360038757,,,
11,,499,,2.5650973320007324,,
11,,503,,,0.07716133445501328,2.5649495124816895
11,0.0010000000474974513,503,0.07717399299144745,,,
12,,545,,,0.07715762406587601,2.564967155456543
12,0.0010000000474974513,545,0.07713515311479568,,,
13,,549,,2.5650157928466797,,
13,,587,,,0.07716009765863419,2.5649573802948
13,0.0010000000474974513,587,0.07710541784763336,,,
14,,599,,2.5648975372314453,,
14,,629,,,0.07716700434684753,2.564952850341797
14,0.0010000000474974513,629,0.07709603756666183,,,
15,,649,,2.564896583557129,,
15,,671,,,0.0771603137254715,2.5649566650390625
15,0.0010000000474974513,671,0.07707356661558151,,,
16,,699,,2.564955711364746,,
16,,713,,,0.0771675705909729,2.564958333969116
16,0.0010000000474974513,713,0.0770825743675232,,,
17,,749,,2.5649425983428955,,
17,,755,,,0.0771636888384819,2.5649497509002686
17,0.0010000000474974513,755,0.07709456235170364,,,
18,,797,,,0.07712572067975998,2.5649502277374268
18,0.0010000000474974513,797,0.07710320502519608,,,
19,,799,,2.565096616744995,,
19,,839,,,0.07712357491254807,2.5643889904022217
19,0.0010000000474974513,839,0.0772705003619194,,,
20,,849,,2.5647196769714355,,
20,,881,,,0.07846095412969589,2.471562147140503
20,0.0010000000474974513,881,0.07748986780643463,,,
21,,899,,2.5646188259124756,,
21,,923,,,0.07994058728218079,2.5598673820495605
21,0.0010000000474974513,923,0.07836996763944626,,,
22,,949,,2.219724178314209,,
22,,965,,,0.08277080208063126,2.155850648880005
22,0.0010000000474974513,965,0.08123281598091125,,,
23,,999,,2.1391773223876953,,
23,,1007,,,0.08717669546604156,2.122286558151245
23,0.0010000000474974513,1007,0.08533553779125214,,,
24,,1049,,2.040719747543335,,
24,,1049,,,0.09245387464761734,2.030426263809204
24,0.0010000000474974513,1049,0.09007703512907028,,,
25,,1091,,,0.09934905916452408,1.7742353677749634
25,0.0010000000474974513,1091,0.0968683660030365,,,
26,,1099,,1.942237138748169,,
26,,1133,,,0.1070636585354805,1.718589186668396
26,0.0010000000474974513,1133,0.10405038297176361,,,
27,,1149,,1.6995875835418701,,
27,,1175,,,0.1156153604388237,1.608337163925171
27,0.0010000000474974513,1175,0.11211791634559631,,,
28,,1199,,1.6053351163864136,,
28,,1217,,,0.1249140128493309,1.5229465961456299
28,0.0010000000474974513,1217,0.12115480750799179,,,
29,,1249,,1.5013383626937866,,
29,,1259,,,0.13429255783557892,1.4670625925064087
29,0.0010000000474974513,1259,0.13040706515312195,,,
30,,1299,,1.4620591402053833,,
30,,1301,,,0.1433909386396408,1.442452311515808
30,0.0010000000474974513,1301,0.1394142359495163,,,
31,,1343,,,0.1521035134792328,1.419128656387329
31,0.0010000000474974513,1343,0.14810307323932648,,,
32,,1349,,1.4362810850143433,,
32,,1385,,,0.1604757308959961,1.4095911979675293
32,0.0010000000474974513,1385,0.1564195454120636,,,
33,,1399,,1.4120205640792847,,
33,,1427,,,0.16845425963401794,1.401465654373169
33,0.0010000000474974513,1427,0.16433529555797577,,,
34,,1449,,1.406970500946045,,
34,,1469,,,0.17598627507686615,1.4118282794952393
34,0.0010000000474974513,1469,0.17188376188278198,,,
35,,1499,,1.4011257886886597,,
35,,1511,,,0.18313845992088318,1.395100474357605
35,0.0010000000474974513,1511,0.179063081741333,,,
36,,1549,,1.3821712732315063,,
36,,1553,,,0.18997377157211304,1.3887196779251099
36,0.0010000000474974513,1553,0.18589015305042267,,,
37,,1595,,,0.19648808240890503,1.385219931602478
37,0.0010000000474974513,1595,0.19237641990184784,,,
38,,1599,,1.3819044828414917,,
38,,1637,,,0.20267480611801147,1.381281852722168
38,0.0010000000474974513,1637,0.19856072962284088,,,
39,,1649,,1.4028362035751343,,
39,,1679,,,0.20861674845218658,1.3790420293807983
