df.describe:                  0             1             2             3             4             5             6             7             8             9             10            11            12            13            14
count  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06  1.639128e+06
mean  -9.831649e-04 -5.419580e-04  9.244394e-01  1.330934e-02  2.128760e-01 -6.348074e-04 -4.602172e-04  9.244503e-01  1.307085e-02  2.130736e-01  1.617972e-03 -4.317435e-04  9.244776e-01  1.309435e-02  2.129267e-01
std    9.993810e-01  4.015552e-01  5.735460e-02  5.929114e-01  2.069425e-01  9.996368e-01  4.014051e-01  5.747679e-02  5.927020e-01  2.069865e-01  1.000980e+00  4.015203e-01  5.763258e-02  5.928145e-01  2.070806e-01
min   -1.201710e+00 -1.000000e+00  8.489537e-01 -1.000000e+00  9.015545e-05 -1.201712e+00 -8.068357e-01  8.489364e-01 -1.000000e+00  7.951906e-05 -1.201712e+00 -8.346690e-01  8.489393e-01 -1.000000e+00  8.333011e-05
25%   -8.288108e-01 -3.142750e-01  8.645135e-01 -4.624386e-01  4.414740e-02 -8.291343e-01 -3.140873e-01  8.643466e-01 -4.625057e-01  4.419206e-02 -8.290011e-01 -3.140673e-01  8.641653e-01 -4.626202e-01  4.392731e-02
50%   -3.883225e-01 -3.681979e-02  9.597089e-01  6.075729e-02  1.368814e-01 -3.878299e-01 -3.681957e-02  9.597693e-01  6.074381e-02  1.373191e-01 -3.872516e-01 -3.684044e-02  9.598355e-01  6.057257e-02  1.370238e-01
75%    8.796324e-01  3.131835e-01  9.774159e-01  5.786212e-01  3.540868e-01  8.806841e-01  3.132414e-01  9.775738e-01  5.784048e-01  3.542410e-01  8.907425e-01  3.135833e-01  9.778328e-01  5.784333e-01  3.541281e-01
max    1.892424e+00  9.097956e-01  9.999856e-01  1.000000e+00  1.000000e+00  1.892424e+00  9.662841e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.892389e+00  8.544327e-01  9.999827e-01  1.000000e+00  1.000000e+00
